"Region","Year","Reserves_in_billion_barrels","Percentage"
"Middle East","2012",808.7,47.9286433947727
"South and Central America","2012",328.6,19.4749007289753
"North America","2012",229.9,13.6253185562733
"Europe and CIS","2012",147.4,8.73585017483554
"Africa","2012",130.6,7.74017661352456
"Asia Pacific","2012",42.1,2.49511053161856
"Middle East","2013",808.5,47.8997570946146
"South and Central America","2013",329.6,19.5272231767285
"North America","2013",229.6,13.6027015818473
"Europe and CIS","2013",147.8,8.75644291723443
"Africa","2013",130.3,7.71965163813022
"Asia Pacific","2013",42.1,2.49422359144499
"Middle East","2014",810.7,47.6854302688077
"South and Central America","2014",330.2,19.4223869184166
"North America","2014",232.5,13.675666137286
"Europe and CIS","2014",154.8,9.10534674430916
"Africa","2014",129.2,7.5995529674725
"Asia Pacific","2014",42.7,2.51161696370802
"Middle East","2015",803,47.4754641125695
"South and Central America","2015",329,19.4513420834811
"North America","2015",227.5,13.4503961215561
"Europe and CIS","2015",154.9,9.15809388672106
"Africa","2015",128.2,7.57951992432304
"Asia Pacific","2015",48.8,2.88518387134918
"Middle East","2016",813.5,47.6622920084368
"South and Central America","2016",327.9,19.2113897351769
"North America","2016",227.5,13.3290367940005
"Europe and CIS","2016",161.5,9.46215139442231
"Africa","2016",128,7.49941410827279
"Asia Pacific","2016",48.4,2.83571595969065
